PSC,Transition profile,Spline-MPPT (%),P&O (%),INC (%),Best-local (%),Spline advantage (pp),Winner
Easy,Step,90.9,91.7,91.8,91.8,-1.0,INC
Easy,Linear 5 s,91.2,92.6,92.7,92.7,-1.5,INC
Easy,Linear 10 s,91.3,93.3,93.3,93.3,-2.0,INC
Easy,Linear 20 s,91.6,94.3,94.4,94.4,-2.8,INC
Easy,Sigmoid b=0.5 s,91.0,92.4,92.5,92.5,-1.5,INC
Easy,Sigmoid b=1 s,91.0,93.0,93.1,93.1,-2.0,INC
Easy,Sigmoid b=2 s,91.1,93.8,93.8,93.8,-2.7,INC
Easy,Sigmoid b=5 s,92.5,95.0,95.1,95.1,-2.6,INC
Moderate,Step,86.2,80.5,80.5,80.5,+5.7,Spline-MPPT
Moderate,Linear 5 s,86.4,81.7,81.8,81.8,+4.6,Spline-MPPT
Moderate,Linear 10 s,85.9,82.6,82.6,82.6,+3.3,Spline-MPPT
Moderate,Linear 20 s,88.4,84.0,83.9,84.0,+4.5,Spline-MPPT
Moderate,Sigmoid b=0.5 s,86.3,81.7,81.6,81.7,+4.6,Spline-MPPT
Moderate,Sigmoid b=1 s,85.9,82.6,82.5,82.6,+3.3,Spline-MPPT
Moderate,Sigmoid b=2 s,88.6,83.8,83.8,83.8,+4.8,Spline-MPPT
Moderate,Sigmoid b=5 s,89.1,85.8,85.8,85.8,+3.2,Spline-MPPT
Hard,Step,63.0,36.2,36.2,36.2,+26.8,Spline-MPPT
Hard,Linear 5 s,68.6,37.8,37.8,37.8,+30.8,Spline-MPPT
Hard,Linear 10 s,68.3,39.0,38.9,39.0,+29.4,Spline-MPPT
Hard,Linear 20 s,68.1,40.7,40.1,40.7,+27.4,Spline-MPPT
Hard,Sigmoid b=0.5 s,68.6,37.8,35.0,37.8,+30.8,Spline-MPPT
Hard,Sigmoid b=1 s,68.7,39.0,35.7,39.0,+29.8,Spline-MPPT
Hard,Sigmoid b=2 s,68.4,40.7,72.0,72.0,-3.6,INC
Hard,Sigmoid b=5 s,69.4,43.5,67.7,67.7,+1.7,Spline-MPPT
Extreme,Step,50.9,19.2,19.2,19.2,+31.6,Spline-MPPT
Extreme,Linear 5 s,57.8,20.8,20.8,20.8,+37.0,Spline-MPPT
Extreme,Linear 10 s,56.8,22.0,21.7,22.0,+34.9,Spline-MPPT
Extreme,Linear 20 s,57.1,23.7,53.4,53.4,+3.8,Spline-MPPT
Extreme,Sigmoid b=0.5 s,57.8,20.8,20.2,20.8,+37.0,Spline-MPPT
Extreme,Sigmoid b=1 s,57.2,22.0,54.6,54.6,+2.6,Spline-MPPT
Extreme,Sigmoid b=2 s,57.5,23.6,54.1,54.1,+3.4,Spline-MPPT
Extreme,Sigmoid b=5 s,58.8,26.3,54.5,54.5,+4.3,Spline-MPPT
