PSC,Profile,Algorithm,eta_total (%),RMSE_total (W),MAE_total (W),RMSE_ss (W),MAE_ss (W),std_ss (W),Response time (s)
Easy,Step,Spline-MPPT,90.9,53.84,35.20,39.76,20.60,34.009,n/a*
Easy,Step,P&O,91.7,34.48,32.09,37.23,37.22,0.729,0.0
Easy,Step,INC,91.8,33.99,31.55,36.67,36.67,0.000,0.0
Easy,Linear 5 s,Spline-MPPT,91.2,52.96,33.98,43.35,19.70,38.613,15.2
Easy,Linear 5 s,P&O,92.6,32.50,28.82,37.22,37.22,0.722,4.8
Easy,Linear 5 s,INC,92.7,32.08,28.41,36.67,36.67,0.000,4.7
Easy,Linear 10 s,Spline-MPPT,91.3,53.57,33.92,50.86,35.07,36.842,n/a*
Easy,Linear 10 s,P&O,93.3,30.85,26.17,37.21,37.21,0.716,9.5
Easy,Linear 10 s,INC,93.3,30.76,26.05,37.08,37.08,0.000,9.5
Easy,Linear 20 s,Spline-MPPT,91.6,53.72,32.84,64.07,48.73,41.598,n/a*
Easy,Linear 20 s,P&O,94.3,28.33,22.46,37.22,37.21,0.717,19.1
Easy,Linear 20 s,INC,94.4,27.94,22.10,36.67,36.67,0.000,19.0
Easy,Sigmoid b=0.5 s,Spline-MPPT,91.0,53.41,34.78,44.90,21.01,39.687,15.3
Easy,Sigmoid b=0.5 s,P&O,92.4,32.86,29.48,37.22,37.21,0.722,4.0
Easy,Sigmoid b=0.5 s,INC,92.5,32.48,29.10,36.67,36.67,0.000,3.8
Easy,Sigmoid b=1 s,Spline-MPPT,91.0,54.18,35.15,50.86,35.06,36.840,n/a*
Easy,Sigmoid b=1 s,P&O,93.0,31.55,27.44,37.21,37.20,0.716,8.0
Easy,Sigmoid b=1 s,INC,93.1,31.22,27.12,36.67,36.67,0.000,7.9
Easy,Sigmoid b=2 s,Spline-MPPT,91.1,55.00,34.94,64.06,48.63,41.694,n/a*
Easy,Sigmoid b=2 s,P&O,93.8,29.56,24.46,37.21,37.20,0.717,15.9
Easy,Sigmoid b=2 s,INC,93.8,29.50,24.40,37.08,37.08,0.000,15.9
Easy,Sigmoid b=5 s,Spline-MPPT,92.5,51.97,30.12,60.57,42.23,43.418,58.6
Easy,Sigmoid b=5 s,P&O,95.0,26.12,19.82,37.20,37.19,0.718,39.9
